TourCode,TourName_es,TourName_en,AdultPrice,ChildPrice
NYC,New York City,New York City,60,50
HC,"Harrington Casino, DE","Harrington Casino, DE",40,
AC,Atlantic City,Atlantic City,50,40
NF,Cataratas del Niagara,Niagara Falls,350,300
FL,"Orlando, FL","Orlando, FL",420,350
VB,Virginia Beach,Virginia Beach,50,40
OC,Ocean City,Ocean City,50,40
MB2,Myrtle Beach,Myrtle Beach,370,320
PAA,"Pennsylvania, Amish","Pennsylvania, Amish",50,40
NYCR,"Teatro Rockettes, New York",New York City Rockettes,150,140
PAT,"Teatro Queen Esther, Pennsylvania","Queen Esther Theatre, Pennsylvania",150,140
