TourCode,TourName_es,TourName_en,AdultPrice,ChildPrice
NYC,New York City,New York City,70,60
HC,"Harrington Casino, DE","Harrington Casino, DE",40,
AC,Atlantic City,Atlantic City,60,50
NF,Cataratas del Niagara,Niagara Falls,380,330
FL,"Orlando, FL","Orlando, FL",450,380
VB,Virginia Beach,Virginia Beach,60,50
OC,Ocean City,Ocean City,60,50
MB2,Myrtle Beach,Myrtle Beach,400,350
PAA,"Pennsylvania, Amish","Pennsylvania, Amish",60,50
NYCR,"Teatro Rockettes, New York",New York City Rockettes,160,150
PAT,"Teatro Queen Esther, Pennsylvania","Queen Esther Theatre, Pennsylvania",150,140
